Player,Team,League,Position,Age,Matches,Goals,Assists,xG,xA,ProgressiveCarries,SuccessfulDribbles,KeyPasses,PassesCompleted,PassingAccuracy,Tackles,Interceptions,DistanceCoveredKm,MinutesPlayed,Nationality
Erling Haaland,Brighton,Bundesliga,Midfielder,32,16,0,6,0.0,4.9,69.34,0.83,0.97,714,77.6,2,1,175.1,1495,Austria
Kylian Mbappé,Roma,Bundesliga,Forward,34,16,9,2,9.83,1.74,48.52,1.99,0.88,559,81.4,2,1,173.3,1482,Austria
Vinicius Junior,Aston Villa,La Liga,Forward,31,27,7,5,7.04,4.66,72.37,1.45,0.62,705,87.7,5,1,284.1,2441,Spain
Vinícius Júnior,Manchester United,Ligue 1,Midfielder,29,6,0,2,0.0,1.65,30.82,0.46,0.45,280,86.4,1,1,70.7,601,Spain
Mohamed Salah,Stade Nantes,Bundesliga,Forward,30,17,7,5,7.13,5.16,45.09,0.62,0.89,421,83.1,4,0,184.8,1580,Netherlands
Harry Kane,Olympique Marseille,Serie A,Midfielder,18,34,9,7,7.89,5.68,113.61,2.22,0.53,1156,85.9,7,4,357.0,3060,France
Gianluigi Donnarumma,AS Monaco,Ligue 1,Midfielder,21,17,4,8,4.26,7.9,72.52,0.92,0.29,773,81.5,1,2,184.5,1583,Poland
Pedri,SSC Napoli,Premier League,Forward,30,18,4,4,3.7,3.47,66.47,0.71,0.77,710,80.8,1,0,196.9,1682,Netherlands
Jude Bellingham,SSC Napoli,Premier League,Midfielder,29,22,3,15,2.45,13.25,50.53,-0.51,2.13,452,89.2,7,3,237.4,2036,Japan
Florian Wirtz,Borussia Dortmund,Ligue 1,Forward,19,38,10,5,10.51,4.48,99.15,3.16,0.93,952,82.4,2,4,400.4,3429,Portugal
Phil Foden,SC Freiburg,Bundesliga,Forward,18,22,12,5,12.03,5.1,78.65,1.73,2.05,848,86.1,0,2,240.8,2063,Argentina
Bukayo Saka,Aston Villa,Premier League,Midfielder,33,8,1,3,0.99,2.48,27.27,0.96,0.04,240,83.7,2,0,93.1,803,France
Cristiano Ronaldo,Liverpool,Serie A,Midfielder,26,6,0,1,0.0,0.91,21.5,0.23,0.36,168,84.1,0,0,65.8,560,Germany
Lamine Yamal,Inter Milan,Serie A,Midfielder,18,36,4,6,4.07,5.31,81.24,2.75,2.6,813,81.8,3,4,387.1,3326,Sweden
Alejandro Garnacho,Arsenal,Bundesliga,Forward,18,5,1,0,1.05,0.0,15.26,0.62,0.32,193,83.2,1,0,61.0,527,France
Ousmane Dembélé,Roma,La Liga,Midfielder,20,14,3,3,2.4,2.97,63.85,1.51,0.88,572,83.0,2,0,153.2,1320,Spain
Sergej Milinković-Savić,Liverpool,Serie A,Forward,34,12,3,3,2.51,2.87,47.24,0.65,0.23,480,88.1,0,1,125.5,1081,Germany
Declan Rice,AC Milan,La Liga,Midfielder,26,15,0,2,0.0,1.71,52.09,1.99,0.29,502,80.3,4,0,164.1,1412,Sweden
Enzo Fernandez,Chelsea,Premier League,Midfielder,31,16,1,4,1.09,3.41,53.34,0.35,0.85,580,81.9,0,0,174.8,1492,Sweden
Eduardo Camavinga,Liverpool,Bundesliga,Midfielder,18,19,4,9,4.33,9.75,66.21,2.21,0.73,757,89.7,6,2,204.0,1748,Argentina
